astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0608,0652,0740,0825,1543,1628,1715,1800
0608,0652,0740,0824,1544,1629,1716,1801
0608,0652,0739,0824,1546,1630,1717,1802
0608,0652,0739,0824,1547,1632,1719,1803
0608,0652,0739,0823,1548,1633,1720,1804
0607,0652,0738,0823,1550,1634,1721,1805
0607,0651,0738,0822,1551,1635,1722,1806
0607,0651,0737,0821,1553,1637,1723,1807
0606,0650,0737,0821,1554,1638,1725,1809
0606,0650,0736,0820,1556,1640,1726,1810
0606,0649,0736,0819,1558,1641,1727,1811
0605,0649,0735,0818,1559,1643,1729,1812
0604,0648,0734,0817,1601,1644,1730,1814
0604,0647,0733,0816,1603,1646,1732,1815
0603,0646,0732,0815,1604,1647,1733,1817
0602,0646,0731,0814,1606,1649,1735,1818
0602,0645,0730,0813,1608,1651,1736,1820
0601,0644,0729,0812,1610,1652,1738,1821
0600,0643,0728,0810,1612,1654,1739,1823
0559,0642,0727,0809,1614,1656,1741,1824
0558,0641,0726,0808,1616,1657,1743,1826
0557,0640,0725,0806,1618,1659,1744,1827
0556,0639,0724,0805,1620,1701,1746,1829
0555,0638,0722,0803,1622,1703,1748,1830
0554,0636,0721,0802,1624,1705,1749,1832
0552,0635,0719,0800,1626,1706,1751,1834
0551,0634,0718,0759,1628,1708,1753,1835
0550,0632,0717,0757,1630,1710,1754,1837
0549,0631,0715,0755,1632,1712,1756,1839
0547,0630,0713,0754,1634,1714,1758,1840
0546,0628,0712,0752,1636,1716,1800,1842
0544,0627,0710,0750,1638,1718,1802,1844
0543,0625,0709,0748,1640,1720,1803,1846
0541,0623,0707,0746,1642,1722,1805,1847
0540,0622,0705,0744,1644,1724,1807,1849
0538,0620,0703,0743,1646,1725,1809,1851
0536,0618,0702,0741,1648,1727,1811,1853
0535,0617,0700,0739,1651,1729,1812,1855
0533,0615,0658,0737,1653,1731,1814,1856
0531,0613,0656,0734,1655,1733,1816,1858
0529,0611,0654,0732,1657,1735,1818,1900
0528,0609,0652,0730,1659,1737,1820,1902
0526,0607,0650,0728,1701,1739,1822,1904
0524,0606,0648,0726,1703,1741,1824,1906
0522,0604,0646,0724,1705,1743,1826,1908
0520,0602,0644,0722,1707,1745,1828,1909
0518,0600,0642,0719,1709,1747,1829,1911
0516,0558,0640,0717,1712,1749,1831,1913
0514,0555,0638,0715,1714,1751,1833,1915
0511,0553,0635,0713,1716,1753,1835,1917
0509,0551,0633,0710,1718,1755,1837,1919
0507,0549,0631,0708,1720,1757,1839,1921
0505,0547,0629,0706,1722,1759,1841,1923
0503,0545,0627,0703,1724,1801,1843,1925
0500,0542,0624,0701,1726,1803,1845,1927
0458,0540,0622,0659,1728,1805,1847,1929
0456,0538,0620,0656,1730,1807,1849,1931
0453,0536,0617,0654,1732,1809,1851,1933
0451,0533,0615,0651,1734,1811,1853,1935
0449,0531,0613,0649,1736,1813,1855,1937
0446,0528,0610,0647,1738,1815,1857,1939
0444,0526,0608,0644,1741,1817,1859,1941
0441,0524,0605,0642,1743,1819,1901,1944
0439,0521,0603,0639,1745,1821,1903,1946
0436,0519,0601,0637,1747,1823,1905,1948
0433,0516,0558,0634,1749,1825,1907,1950
0431,0514,0556,0632,1751,1827,1909,1952
0428,0511,0553,0629,1753,1829,1911,1954
0425,0509,0551,0627,1755,1831,1913,1956
0423,0506,0548,0624,1757,1833,1915,1959
0420,0504,0546,0622,1759,1835,1917,2001
0417,0501,0543,0619,1801,1837,1919,2003
0414,0458,0541,0617,1803,1839,1921,2005
0412,0456,0538,0614,1804,1841,1923,2008
0409,0453,0536,0612,1806,1843,1925,2010
0406,0450,0533,0609,1808,1845,1927,2012
0403,0448,0530,0607,1810,1847,1930,2015
0400,0445,0528,0604,1812,1849,1932,2017
0357,0442,0525,0601,1814,1851,1934,2019
0354,0440,0523,0559,1816,1853,1936,2022
0351,0437,0520,0556,1818,1855,1938,2024
0348,0434,0518,0554,1820,1857,1940,2027
0345,0431,0515,0551,1822,1859,1942,2029
0342,0429,0512,0549,1824,1901,1945,2032
0339,0426,0510,0546,1826,1903,1947,2034
0336,0423,0507,0544,1828,1905,1949,2037
0332,0420,0504,0541,1830,1907,1951,2040
0329,0417,0502,0539,1832,1909,1954,2042
0326,0415,0459,0536,1834,1911,1956,2045
0323,0412,0457,0533,1836,1913,1958,2048
0319,0409,0454,0531,1838,1915,2000,2050
0316,0406,0451,0528,1840,1917,2003,2053
0313,0403,0449,0526,1842,1919,2005,2056
0309,0400,0446,0523,1844,1921,2007,2059
0306,0357,0443,0521,1846,1923,2010,2102
0302,0354,0441,0518,1848,1925,2012,2105
0259,0351,0438,0516,1850,1927,2014,2108
0255,0349,0435,0513,1851,1930,2017,2111
0252,0346,0433,0511,1853,1932,2019,2114
0248,0343,0430,0508,1855,1934,2022,2117
0244,0340,0427,0506,1857,1936,2024,2120
0241,0337,0425,0503,1859,1938,2027,2123
0237,0334,0422,0501,1901,1940,2029,2127
0233,0331,0420,0459,1903,1942,2032,2130
0229,0328,0417,0456,1905,1944,2034,2134
0225,0325,0414,0454,1907,1947,2037,2137
0221,0322,0412,0451,1909,1949,2039,2141
0217,0318,0409,0449,1911,1951,2042,2145
0213,0315,0407,0446,1913,1953,2045,2148
0209,0312,0404,0444,1915,1955,2047,2152
0204,0309,0401,0442,1917,1957,2050,2156
0200,0306,0359,0439,1919,2000,2053,2200
0156,0303,0356,0437,1921,2002,2055,2205
0151,0300,0354,0435,1923,2004,2058,2209
0146,0257,0351,0433,1925,2006,2101,2214
0141,0254,0349,0430,1926,2008,2104,2218
0136,0251,0346,0428,1928,2011,2107,2223
0131,0248,0344,0426,1930,2013,2110,2229
0125,0245,0341,0424,1932,2015,2112,2234
0120,0241,0339,0421,1934,2017,2115,2240
0113,0238,0336,0419,1936,2019,2118,2246
0107,0235,0334,0417,1938,2022,2121,2253
0100,0232,0331,0415,1940,2024,2124,2301
0052,0229,0329,0413,1942,2026,2127,2310
0043,0225,0327,0411,1944,2028,2130,2321
0032,0222,0324,0409,1946,2031,2133,2336
0016,0219,0322,0407,1948,2033,2137,2400
0000,0216,0320,0405,1949,2035,2140,2400
0000,0213,0317,0403,1951,2037,2143,2400
0000,0209,0315,0401,1953,2039,2146,2400
0000,0206,0313,0359,1955,2042,2149,2400
0000,0203,0311,0357,1957,2044,2153,2400
0000,0200,0308,0355,1959,2046,2156,2400
0000,0156,0306,0354,2000,2048,2159,2400
0000,0153,0304,0352,2002,2050,2202,2400
0000,0150,0302,0350,2004,2052,2206,2400
0000,0146,0300,0348,2006,2054,2209,2400
0000,0143,0258,0347,2007,2057,2213,2400
0000,0140,0256,0345,2009,2059,2216,2400
0000,0136,0254,0344,2011,2101,2220,2400
0000,0133,0252,0342,2012,2103,2223,2400
0000,0130,0250,0341,2014,2105,2227,2400
0000,0126,0248,0339,2015,2107,2231,2400
0000,0123,0247,0338,2017,2109,2234,2400
0000,0119,0245,0336,2019,2111,2238,2400
0000,0116,0243,0335,2020,2112,2242,2400
0000,0112,0241,0334,2021,2114,2246,2400
0000,0108,0240,0333,2023,2116,2250,2400
0000,0105,0238,0331,2024,2118,2254,2400
0000,0101,0237,0330,2026,2120,2258,2400
0000,0057,0235,0329,2027,2121,2302,2400
0000,0053,0234,0328,2028,2123,2306,2400
0000,0050,0233,0327,2029,2124,2311,2400
0000,0045,0232,0327,2031,2126,2315,2400
0000,0041,0230,0326,2032,2127,2320,2400
0000,0037,0229,0325,2033,2129,2325,2400
0000,0032,0228,0324,2034,2130,2331,2400
0000,0027,0227,0324,2035,2131,2337,2400
0000,0021,0226,0323,2036,2133,2346,2400
0000,0013,0226,0322,2037,2134,2400,2400
0000,0000,0225,0322,2038,2135,2400,2400
0000,0000,0224,0321,2038,2136,2400,2400
0000,0000,0224,0321,2039,2137,2400,2400
0000,0000,0223,0321,2040,2138,2400,2400
0000,0000,0223,0321,2040,2138,2400,2400
0000,0000,0223,0320,2041,2139,2400,2400
0000,0000,0222,0320,2041,2140,2400,2400
0000,0000,0222,0320,2042,2140,2400,2400
0000,0000,0222,0320,2042,2141,2400,2400
0000,0000,0222,0320,2043,2141,2400,2400
0000,0000,0222,0320,2043,2141,2400,2400
0000,0000,0222,0321,2043,2141,2400,2400
0000,0000,0223,0321,2043,2141,2400,2400
0000,0000,0223,0321,2043,2141,2400,2400
0000,0000,0223,0322,2043,2141,2400,2400
0000,0000,0224,0322,2043,2141,2400,2400
0000,0000,0225,0323,2043,2141,2400,2400
0000,0000,0225,0323,2043,2141,2400,2400
0000,0000,0226,0324,2043,2140,2400,2400
0000,0000,0227,0324,2042,2140,2400,2400
0000,0000,0228,0325,2042,2139,2400,2400
0000,0000,0229,0326,2042,2138,2400,2400
0000,0000,0230,0327,2041,2138,2350,2400
0000,0019,0231,0328,2040,2137,2342,2400
0000,0027,0232,0329,2040,2136,2336,2400
0000,0033,0233,0330,2039,2135,2331,2400
0000,0039,0235,0331,2038,2134,2326,2400
0000,0044,0236,0332,2038,2133,2322,2400
0000,0049,0238,0333,2037,2132,2318,2400
0000,0053,0239,0334,2036,2130,2313,2400
0000,0058,0241,0335,2035,2129,2310,2400
0000,0102,0242,0336,2034,2128,2306,2400
0000,0106,0244,0338,2033,2126,2302,2400
0000,0110,0246,0339,2032,2125,2258,2400
0000,0114,0247,0340,2031,2123,2255,2400
0000,0118,0249,0342,2029,2122,2251,2400
0000,0122,0251,0343,2028,2120,2247,2400
0000,0125,0253,0345,2027,2118,2244,2400
0000,0129,0255,0346,2025,2117,2240,2400
0000,0133,0257,0348,2024,2115,2237,2400
0000,0136,0258,0349,2022,2113,2233,2400
0000,0140,0300,0351,2021,2111,2230,2400
0000,0143,0302,0352,2019,2109,2227,2400
0000,0147,0304,0354,2018,2107,2223,2400
0000,0150,0306,0356,2016,2105,2220,2400
0000,0154,0308,0357,2015,2103,2217,2400
0000,0157,0311,0359,2013,2101,2213,2400
