astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0148,0252,0341,0418,1950,2027,2115,2219
0149,0253,0342,0419,1950,2026,2115,2218
0151,0254,0343,0420,1950,2026,2115,2217
0153,0255,0344,0421,1949,2026,2114,2217
0155,0257,0345,0422,1949,2026,2114,2216
0156,0258,0346,0423,1949,2026,2113,2215
0158,0259,0347,0424,1949,2025,2113,2213
0200,0301,0349,0425,1948,2025,2112,2212
0202,0302,0350,0426,1948,2024,2112,2211
0204,0304,0351,0427,1948,2024,2111,2210
0206,0305,0352,0428,1947,2023,2110,2208
0208,0307,0354,0430,1947,2023,2109,2207
0211,0308,0355,0431,1946,2022,2108,2206
0213,0310,0356,0432,1946,2021,2107,2204
0215,0312,0358,0433,1945,2021,2106,2202
0217,0313,0359,0435,1944,2020,2105,2201
0220,0315,0401,0436,1944,2019,2104,2159
0222,0317,0402,0437,1943,2018,2103,2158
0224,0319,0404,0439,1942,2017,2102,2156
0227,0320,0405,0440,1942,2016,2101,2154
0229,0322,0407,0442,1941,2015,2100,2152
0231,0324,0408,0443,1940,2014,2058,2150
0234,0326,0410,0444,1939,2013,2057,2149
0236,0328,0411,0446,1938,2012,2056,2147
0238,0329,0413,0447,1937,2011,2054,2145
0241,0331,0414,0449,1936,2010,2053,2143
0243,0333,0416,0450,1935,2009,2051,2141
0245,0335,0418,0451,1934,2007,2050,2139
0248,0337,0419,0453,1933,2006,2048,2137
0250,0339,0421,0454,1932,2005,2047,2135
0253,0341,0422,0456,1930,2004,2045,2133
0255,0342,0424,0457,1929,2002,2044,2131
0257,0344,0426,0459,1928,2001,2042,2129
0259,0346,0427,0500,1927,1959,2040,2127
0302,0348,0429,0502,1925,1958,2039,2125
0304,0350,0430,0503,1924,1957,2037,2122
0306,0352,0432,0505,1923,1955,2035,2120
0308,0353,0434,0506,1921,1954,2034,2118
0311,0355,0435,0508,1920,1952,2032,2116
0313,0357,0437,0509,1918,1951,2030,2114
0315,0359,0438,0511,1917,1949,2028,2112
0317,0401,0440,0512,1916,1947,2026,2110
0319,0402,0442,0513,1914,1946,2025,2107
0322,0404,0443,0515,1913,1944,2023,2105
0324,0406,0445,0516,1911,1943,2021,2103
0326,0408,0446,0518,1909,1941,2019,2101
0328,0410,0448,0519,1908,1939,2017,2059
0330,0411,0449,0521,1906,1937,2015,2056
0332,0413,0451,0522,1905,1936,2013,2054
0334,0415,0453,0524,1903,1934,2012,2052
0336,0416,0454,0525,1901,1932,2010,2050
0338,0418,0456,0526,1900,1931,2008,2048
0340,0420,0457,0528,1858,1929,2006,2046
0342,0421,0459,0529,1856,1927,2004,2043
0344,0423,0500,0531,1855,1925,2002,2041
0346,0425,0502,0532,1853,1923,2000,2039
0347,0426,0503,0533,1851,1922,1958,2037
0349,0428,0504,0535,1850,1920,1956,2035
0351,0430,0506,0536,1848,1918,1954,2032
0353,0431,0507,0538,1846,1916,1952,2030
0355,0433,0509,0539,1844,1914,1950,2028
0357,0434,0510,0540,1842,1912,1948,2026
0358,0436,0512,0542,1841,1911,1946,2024
0400,0437,0513,0543,1839,1909,1944,2021
0402,0439,0515,0544,1837,1907,1942,2019
0403,0441,0516,0546,1835,1905,1940,2017
0405,0442,0517,0547,1833,1903,1938,2015
0407,0443,0519,0548,1832,1901,1936,2013
0408,0445,0520,0550,1830,1859,1934,2011
0410,0446,0521,0551,1828,1857,1932,2009
0412,0448,0523,0552,1826,1855,1930,2006
0413,0449,0524,0554,1824,1854,1928,2004
0415,0451,0526,0555,1822,1852,1926,2002
0416,0452,0527,0556,1820,1850,1924,2000
0418,0454,0528,0558,1819,1848,1922,1958
0419,0455,0530,0559,1817,1846,1920,1956
0421,0456,0531,0600,1815,1844,1919,1954
0422,0458,0532,0602,1813,1842,1917,1952
0424,0459,0533,0603,1811,1840,1915,1950
0425,0500,0535,0604,1809,1838,1913,1948
0427,0502,0536,0605,1807,1837,1911,1946
0428,0503,0537,0607,1805,1835,1909,1944
0430,0504,0539,0608,1804,1833,1907,1942
0431,0506,0540,0609,1802,1831,1905,1940
0432,0507,0541,0610,1800,1829,1903,1938
0434,0508,0542,0612,1758,1827,1901,1936
0435,0510,0544,0613,1756,1825,1859,1934
0436,0511,0545,0614,1754,1823,1857,1932
0438,0512,0546,0616,1752,1822,1856,1930
