astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0547,0621,0657,0729,1633,1706,1741,1816
0547,0621,0657,0729,1634,1707,1742,1817
0547,0621,0657,0729,1635,1707,1743,1818
0547,0621,0657,0729,1636,1708,1744,1818
0547,0621,0657,0729,1637,1709,1745,1819
0547,0621,0657,0729,1638,1710,1746,1820
0547,0621,0657,0729,1639,1711,1747,1821
0547,0621,0657,0729,1640,1712,1748,1822
0547,0621,0657,0728,1641,1713,1749,1823
0547,0621,0656,0728,1642,1714,1750,1824
0547,0621,0656,0728,1644,1715,1751,1825
0546,0621,0656,0728,1645,1716,1752,1826
0546,0620,0656,0727,1646,1717,1753,1827
0546,0620,0655,0727,1647,1719,1754,1828
0546,0620,0655,0726,1648,1720,1755,1829
0545,0619,0654,0726,1649,1721,1756,1830
0545,0619,0654,0725,1651,1722,1757,1831
0545,0618,0653,0725,1652,1723,1758,1832
0544,0618,0653,0724,1653,1724,1759,1833
0544,0617,0652,0723,1654,1725,1800,1834
0543,0617,0652,0723,1656,1727,1801,1835
0543,0616,0651,0722,1657,1728,1803,1836
0542,0616,0650,0721,1658,1729,1804,1837
0541,0615,0650,0720,1659,1730,1805,1838
0541,0614,0649,0719,1701,1732,1806,1840
0540,0614,0648,0719,1702,1733,1807,1841
0539,0613,0647,0718,1703,1734,1808,1842
0539,0612,0646,0717,1705,1735,1809,1843
0538,0611,0645,0716,1706,1736,1811,1844
0537,0610,0645,0715,1707,1738,1812,1845
0536,0609,0644,0714,1709,1739,1813,1846
0535,0609,0643,0713,1710,1740,1814,1848
0534,0608,0642,0712,1711,1742,1815,1849
0533,0607,0641,0711,1713,1743,1817,1850
0532,0606,0639,0709,1714,1744,1818,1851
0531,0605,0638,0708,1715,1745,1819,1852
0530,0604,0637,0707,1717,1747,1820,1853
0529,0602,0636,0706,1718,1748,1822,1855
0528,0601,0635,0705,1719,1749,1823,1856
0527,0600,0634,0703,1721,1750,1824,1857
