astro_beg,naut_beg,civ_beg,rise,set,civ_end,naut_end,astro_end
0546,0614,0643,0708,1742,1807,1835,1903
0546,0614,0643,0708,1742,1807,1836,1904
0546,0614,0643,0708,1743,1808,1837,1905
0547,0615,0643,0708,1744,1809,1837,1905
0547,0615,0644,0709,1744,1809,1838,1906
0547,0615,0644,0709,1745,1810,1839,1907
0547,0615,0644,0709,1746,1811,1839,1907
0548,0616,0644,0709,1747,1811,1840,1908
0548,0616,0644,0709,1747,1812,1841,1909
0548,0616,0644,0709,1748,1813,1841,1909
0548,0616,0644,0709,1749,1814,1842,1910
0548,0616,0644,0709,1749,1814,1843,1910
0548,0616,0644,0709,1750,1815,1843,1911
0548,0616,0644,0709,1751,1816,1844,1912
0548,0616,0644,0709,1752,1816,1845,1912
0548,0616,0644,0709,1753,1817,1845,1913
0548,0616,0644,0709,1753,1818,1846,1914
0548,0616,0644,0709,1754,1819,1847,1914
0548,0616,0644,0709,1755,1819,1847,1915
0548,0616,0644,0709,1756,1820,1848,1916
0548,0616,0644,0708,1756,1821,1849,1916
0548,0616,0644,0708,1757,1822,1850,1917
0548,0616,0643,0708,1758,1822,1850,1918
0548,0615,0643,0708,1759,1823,1851,1918
0548,0615,0643,0707,1759,1824,1852,1919
0547,0615,0643,0707,1800,1824,1852,1920
0547,0615,0642,0707,1801,1825,1853,1920
0547,0614,0642,0706,1802,1826,1854,1921
0547,0614,0642,0706,1802,1827,1854,1922
0546,0614,0641,0705,1803,1827,1855,1922
0546,0613,0641,0705,1804,1828,1856,1923
0546,0613,0641,0705,1805,1829,1856,1923
0545,0613,0640,0704,1805,1829,1857,1924
0545,0612,0640,0704,1806,1830,1858,1925
0545,0612,0639,0703,1807,1831,1858,1925
0544,0611,0639,0703,1808,1831,1859,1926
0544,0611,0638,0702,1808,1832,1859,1927
0543,0610,0638,0701,1809,1833,1900,1927
0543,0610,0637,0701,1810,1833,1901,1928
0542,0609,0636,0700,1810,1834,1901,1928
0542,0609,0636,0659,1811,1835,1902,1929
0541,0608,0635,0659,1812,1835,1902,1929
0541,0607,0635,0658,1812,1836,1903,1930
0540,0607,0634,0657,1813,1837,1904,1931
0539,0606,0633,0657,1814,1837,1904,1931
0539,0605,0632,0656,1814,1838,1905,1932
0538,0605,0632,0655,1815,1838,1905,1932
0537,0604,0631,0654,1816,1839,1906,1933
0537,0603,0630,0654,1816,1840,1907,1933
0536,0603,0630,0653,1817,1840,1907,1934
0535,0602,0629,0652,1817,1841,1908,1934
0534,0601,0628,0651,1818,1841,1908,1935
0534,0600,0627,0650,1819,1842,1909,1935
0533,0559,0626,0650,1819,1842,1909,1936
0532,0559,0625,0649,1820,1843,1910,1937
0531,0558,0625,0648,1820,1844,1910,1937
0530,0557,0624,0647,1821,1844,1911,1938
0529,0556,0623,0646,1822,1845,1911,1938
0529,0555,0622,0645,1822,1845,1912,1939
0528,0554,0621,0644,1823,1846,1912,1939
0527,0553,0620,0643,1823,1846,1913,1940
0526,0552,0619,0642,1824,1847,1913,1940
0525,0552,0618,0641,1824,1847,1914,1941
0524,0551,0617,0640,1825,1848,1914,1941
0523,0550,0616,0639,1825,1848,1915,1942
0522,0549,0615,0638,1826,1849,1915,1942
0521,0548,0614,0637,1826,1849,1916,1943
0520,0547,0613,0636,1827,1850,1916,1943
0519,0546,0612,0635,1827,1850,1917,1944
0518,0545,0611,0634,1828,1851,1917,1944
0517,0544,0610,0633,1828,1851,1918,1945
